elo_diff,winrate_30d_diff,form_diff,h2h_winrate_a,ranking_diff,map_winrate_diff,days_since_last_diff,lineup_age_diff,team_a_won,date,team_a,team_b,winner,event
-45.056670951897786,-0.5,0.0,0.5,0.45056670951897787,-0.5,-3,0,0,2024-05-20 15:00:00+00:00,9z,BESTIA,team1,ESL Challenger League Season 47 South America
25.7445774705418,-0.5,0.0,0.0,-0.25744577470541796,-0.5,0,0,0,2024-05-20 15:15:00+00:00,MIBR,BetBoom,team2,CCT Global Finals 2024
72.92990668818425,0.5,0.0,0.0,-0.7292990668818424,0.5,0,-1,0,2024-05-20 16:15:00+00:00,BESTIA,9z,team1,ESL Challenger League Season 47 South America
-60.03161614704595,-0.5,0.0,0.0,0.6003161614704595,-0.5,-1,-1,0,2024-05-20 18:00:00+00:00,RED Canids,Fluxo,team1,ESL Challenger League Season 47 South America
86.5568739471255,0.5,0.0,0.0,-0.865568739471255,0.5,0,0,0,2024-05-20 19:10:00+00:00,Fluxo,RED Canids,team1,ESL Challenger League Season 47 South America
-31.871427235091232,0.0,0.0,0.5,0.3187142723509123,0.0,-2,-2,0,2024-05-20 21:00:00+00:00,M80,NRG,team1,ESL Challenger League Season 47 North America
60.94416667434416,0.0,0.0,0.0,-0.6094416667434416,0.0,0,2,0,2024-05-20 22:00:00+00:00,NRG,M80,team2,ESL Challenger League Season 47 North America
0.7363067935220897,0.0,-0.5,0.5,-0.007363067935220897,0.0,-12,3,0,2024-05-21 04:00:00+00:00,Rebels,UNiTY,team2,European Pro League Season 16
47.32806675966458,0.0,0.0,0.5,-0.4732806675966458,0.0,-1,-1,0,2024-05-21 06:00:00+00:00,Liquid,ENCE,team1,CCT Global Finals 2024
-78.55731833515779,0.0,0.0,0.5,0.7855731833515779,0.0,1,0,0,2024-05-21 08:00:00+00:00,Monte,Sangal,team2,RES Regional Series 4 Europe
45.056010868370095,-0.5,0.0,0.5,-0.45056010868370094,-0.5,4,5,0,2024-05-21 08:30:00+00:00,Aurora,Astralis,team2,CCT Global Finals 2024
-34.45738739557396,0.0,0.0,0.5,0.3445738739557396,0.0,4,0,0,2024-05-21 11:30:00+00:00,Eternal Fire,BetBoom,team1,CCT Global Finals 2024
19.507096171455032,0.0,0.0,0.5,-0.19507096171455032,0.0,1,1,0,2024-05-21 14:30:00+00:00,GamerLegion,AMKAL,team1,CCT Global Finals 2024
27.964053925343478,0.0,0.0,0.5,-0.2796405392534348,0.0,-5,-1,0,2024-05-21 15:00:00+00:00,BESTIA,Imperial,team1,ESL Challenger League Season 47 South America
6.605983314211471,0.5,0.0,0.0,-0.06605983314211471,0.5,0,1,0,2024-05-21 16:40:00+00:00,Imperial,BESTIA,team2,ESL Challenger League Season 47 South America
-8.240141731010908,-0.5,0.0,0.5,0.08240141731010908,-0.5,-4,-1,0,2024-05-21 17:00:00+00:00,RED Canids,Sharks,team1,ESL Challenger League Season 47 South America
39.481338900070796,0.5,0.0,0.0,-0.39481338900070795,0.5,0,1,0,2024-05-21 18:00:00+00:00,Sharks,RED Canids,team1,ESL Challenger League Season 47 South America
11.758222602286423,-0.5,0.0,0.5,-0.11758222602286424,-0.5,-5,0,0,2024-05-21 21:00:00+00:00,NRG,Take Flyte,team1,ESL Challenger League Season 47 North America
21.32433645292258,0.5,0.0,0.0,-0.2132433645292258,0.5,0,0,0,2024-05-21 21:50:00+00:00,Take Flyte,NRG,team1,ESL Challenger League Season 47 North America
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-22 05:00:00+00:00,FlyQuest,Mindfreak,team1,ESL Challenger League Season 47 Oceania
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-22 05:00:00+00:00,Rooster,Vantage,team1,ESL Challenger League Season 47 Oceania
32.0,0.0,0.0,0.0,-0.32,0.0,0,0,0,2024-05-22 05:50:00+00:00,Mindfreak,FlyQuest,team2,ESL Challenger League Season 47 Oceania
32.0,0.0,0.0,0.0,-0.32,0.0,0,0,0,2024-05-22 05:50:00+00:00,Vantage,Rooster,team2,ESL Challenger League Season 47 Oceania
-3.6285541121376355,0.0,0.0,0.5,0.03628554112137636,0.0,1,1,0,2024-05-22 06:30:00+00:00,Liquid,Astralis,team1,CCT Global Finals 2024
-29.487060574273755,0.0,0.0,0.5,0.29487060574273755,0.0,0,2,0,2024-05-22 10:15:00+00:00,Eternal Fire,GamerLegion,team1,CCT Global Finals 2024
16.035828853821158,0.0,0.0,0.5,-0.16035828853821157,0.0,0,-2,0,2024-05-22 11:00:00+00:00,Sangal,Zero Tenacity,team1,RES Regional Series 4 Europe
-13.667235331919983,0.5,0.5,0.5,0.13667235331919983,0.5,14,-6,0,2024-05-22 13:00:00+00:00,Legacy,NRG,team2,Thunderpick World Championship 2024 NA Closed Qualifier 1
-28.638612269706982,0.0,0.0,0.5,0.2863861226970698,0.0,0,1,0,2024-05-22 13:45:00+00:00,Imperial,Sharks,team1,ESL Challenger League Season 47 South America
71.76674116337313,-0.5,0.0,0.5,-0.7176674116337313,-0.5,-2,3,0,2024-05-22 14:00:00+00:00,MIBR,paiN,team1,ESL Challenger League Season 47 South America
58.006856362582994,0.0,0.0,0.0,-0.5800685636258299,0.0,0,-1,0,2024-05-22 15:00:00+00:00,Sharks,Imperial,team1,ESL Challenger League Season 47 South America
-33.249213105255194,0.5,0.0,0.0,0.33249213105255193,0.5,0,-3,0,2024-05-22 15:00:00+00:00,paiN,MIBR,team2,ESL Challenger League Season 47 South America
