match_id,date,team_a,team_b,event,tournament,match_type,status,stream_url,source
ps_1504026,2026-05-30 13:45:00,TBD,TBD,CCT Europe,Challengers Series season 3 2026,best_of,not_started,https://kick.com/CCT_CS6,pandascore
ps_1504722,2026-05-30 14:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1501220,2026-05-30 14:00:00,TBD,TBD,Thunderpick World Championship,European Series #1 2026,best_of,not_started,https://www.twitch.tv/thunderpicktv,pandascore
ps_1497675,2026-05-30 14:00:00,TBD,TBD,BC Game Masters,Europe Series #2 season 2 2026,best_of,not_started,https://www.twitch.tv/bcgamemasters,pandascore
ps_1497827,2026-05-30 15:00:00,BIG Academy,Wave Esports,DACH CS Masters,Season 5 2026,best_of,not_started,https://www.twitch.tv/dach_cs2,pandascore
ps_1489311,2026-05-30 16:00:00,TBD,TBD,CCT Europe,Series 2 2026,best_of,not_started,https://kick.com/cct_cs2,pandascore
ps_1479974,2026-05-30 16:30:00,TBD,TBD,Stake Ranked,Episode 2 2026,best_of,not_started,https://kick.com/starladder,pandascore
ps_1508617,2026-05-30 17:00:00,TBD,TBD,Circuit X Base Recife,2026,best_of,not_started,https://www.twitch.tv/circuitxofficial,pandascore
ps_1504723,2026-05-30 17:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1501221,2026-05-30 17:00:00,TBD,TBD,Thunderpick World Championship,European Series #1 2026,best_of,not_started,https://www.twitch.tv/thunderpicktv,pandascore
ps_1497828,2026-05-30 17:00:00,Team AceZone,Esport BERG,DACH CS Masters,Season 5 2026,best_of,not_started,https://www.twitch.tv/dach_cs2,pandascore
ps_1497676,2026-05-30 17:00:00,TBD,TBD,BC Game Masters,Europe Series #2 season 2 2026,best_of,not_started,https://www.twitch.tv/bcgamemasters,pandascore
ps_1510155,2026-05-30 17:30:00,Arch,FC Famalicão Esports,ESEA,Advanced Europe season 57 2026,best_of,not_started,,pandascore
ps_1510154,2026-05-30 17:30:00,Bushido Wildcats,Banger Gang,ESEA,Advanced Europe season 57 2026,best_of,not_started,,pandascore
ps_1510156,2026-05-30 17:30:00,OldBoys,OLDBOYS PL,ESEA,Advanced Europe season 57 2026,best_of,not_started,,pandascore
ps_1510152,2026-05-30 17:30:00,Fire Flux Esports,Aurora Young Blood,ESEA,Advanced Europe season 57 2026,best_of,not_started,,pandascore
ps_1510151,2026-05-30 17:30:00,Donstu Esports,Project 91,ESEA,Advanced Europe season 57 2026,best_of,not_started,,pandascore
ps_1510153,2026-05-30 17:30:00,NEW VISION,JUMBO TEAM,ESEA,Advanced Europe season 57 2026,best_of,not_started,,pandascore
ps_1510157,2026-05-30 17:30:00,LFO,Wingman,ESEA,Advanced Europe season 57 2026,best_of,not_started,,pandascore
ps_1510166,2026-05-30 17:30:00,eternal premium,TEAM_COPH9K,ESEA,Advanced Europe season 57 2026,best_of,not_started,,pandascore
ps_1510159,2026-05-30 17:30:00,B8 Academy,tincan,ESEA,Advanced Europe season 57 2026,best_of,not_started,,pandascore
ps_1510165,2026-05-30 17:30:00,QUAZAR,ex-PeeP,ESEA,Advanced Europe season 57 2026,best_of,not_started,,pandascore
ps_1510164,2026-05-30 17:30:00,CYBERSHOKE Prospects,Falcons Force,ESEA,Advanced Europe season 57 2026,best_of,not_started,,pandascore
ps_1510158,2026-05-30 17:30:00,G2 Ares,ENRAGE,ESEA,Advanced Europe season 57 2026,best_of,not_started,,pandascore
ps_1510162,2026-05-30 17:30:00,VP.Prodigy,bankaPEPSI,ESEA,Advanced Europe season 57 2026,best_of,not_started,,pandascore
ps_1510160,2026-05-30 17:30:00,ROUNDS,XI Esport,ESEA,Advanced Europe season 57 2026,best_of,not_started,,pandascore
ps_1510163,2026-05-30 17:30:00,Misa Esports,ZOTIX,ESEA,Advanced Europe season 57 2026,best_of,not_started,,pandascore
ps_1487705,2026-05-30 19:00:00,Yawara Esports,UNO MILLE,Odyssey Cup,Brazil 2026,best_of,not_started,,pandascore
ps_1508616,2026-05-30 20:00:00,TBD,TBD,Circuit X Base Recife,2026,best_of,not_started,https://www.twitch.tv/circuitxofficial,pandascore
ps_1504692,2026-05-31 08:00:00,TBD,TBD,European Pro League,Series 7 Closed Qualifier 2026,best_of,not_started,https://kick.com/eplcs_en,pandascore
ps_1501222,2026-05-31 10:00:00,TBD,TBD,Thunderpick World Championship,European Series #1 2026,best_of,not_started,https://www.twitch.tv/thunderpicktv,pandascore
ps_1497678,2026-05-31 10:00:00,TBD,TBD,BC Game Masters,Europe Series #2 season 2 2026,best_of,not_started,https://www.twitch.tv/bcgamemasters,pandascore
ps_1504693,2026-05-31 10:30:00,TBD,TBD,European Pro League,Series 7 Closed Qualifier 2026,best_of,not_started,https://kick.com/eplcs_en,pandascore
ps_1504724,2026-05-31 11:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
