match_id,date,team_a,team_b,score_a,score_b,winner,event,maps
hltv_match_2373305,2024-07-23 09:30:00+00:00,GUN5,BC.Game,,,team2,CCT Season 2 Europe Series 6,0
hltv_match_2373970,2024-07-23 18:20:00+00:00,Dusty Roots,Fluxo,,,team2,IEM Rio 2024 South America Open Qualifier 1,0
hltv_match_2373969,2024-07-23 18:30:00+00:00,Atrix,Imperial,,,team2,IEM Rio 2024 South America Open Qualifier 1,0
hltv_match_2373975,2024-07-23 19:20:00+00:00,RED Canids,KRÜ,,,team1,IEM Rio 2024 South America Open Qualifier 1,0
hltv_match_2373977,2024-07-23 19:30:00+00:00,Fluxo,BESTIA,,,team1,IEM Rio 2024 South America Open Qualifier 1,0
hltv_match_2373978,2024-07-23 19:40:00+00:00,ODDIK,Sharks,,,team1,IEM Rio 2024 South America Open Qualifier 1,0
hltv_match_2373583,2024-07-24 03:30:00+00:00,Aurora,PARIVISION,,,team1,Skyesports Championship 2024,0
hltv_match_2373454,2024-07-24 04:00:00+00:00,Rebels,9INE,,,team2,European Pro League Season 17,0
hltv_match_2373586,2024-07-24 06:20:00+00:00,3DMAX,AMKAL,,,team1,Skyesports Championship 2024,0
hltv_match_2373587,2024-07-24 07:30:00+00:00,The MongolZ,PARIVISION,,,team2,Skyesports Championship 2024,0
hltv_match_2373916,2024-07-24 10:00:00+00:00,Zero Tenacity,Insilio,,,team1,ESL Challenger League Season 48 Europe,0
hltv_match_2373909,2024-07-24 11:00:00+00:00,SAW,Rebels,,,team2,ESL Challenger League Season 48 Europe,0
hltv_match_2373867,2024-07-24 11:00:00+00:00,Sharks,Yawara,,,team1,Circuito Estadual FERJEE 2024,0
hltv_match_2373823,2024-07-24 11:30:00+00:00,1win,BC.Game,,,team1,CCT Season 2 Europe Series 7,0
hltv_match_2373599,2024-07-24 11:50:00+00:00,The MongolZ,ENCE,,,team1,Skyesports Championship 2024,0
hltv_match_2373914,2024-07-24 14:00:00+00:00,Monte,Sashi,,,team2,ESL Challenger League Season 48 Europe,0
hltv_match_2373980,2024-07-24 17:00:00+00:00,RED Canids,ODDIK,,,team1,IEM Rio 2024 South America Open Qualifier 1,0
hltv_match_2373993,2024-07-24 18:45:00+00:00,Fluxo,RED Canids,,,team2,IEM Rio 2024 South America Open Qualifier 1,0
hltv_match_2373591,2024-07-25 03:30:00+00:00,Aurora,ENCE,,,team1,Skyesports Championship 2024,0
hltv_match_2373455,2024-07-25 04:00:00+00:00,Passion UA,9INE,,,team1,European Pro League Season 17,0
hltv_match_2373521,2024-07-25 05:00:00+00:00,kONO,Nexus,,,team1,Elisa Invitational Fall 2024 Contenders,0
hltv_match_2373307,2024-07-25 05:00:00+00:00,MOUZ NXT,Aurora Young Blud,,,team1,CCT Season 2 Europe Series 6,0
hltv_match_2373594,2024-07-25 06:30:00+00:00,Eternal Fire,AMKAL,,,team1,Skyesports Championship 2024,0
hltv_match_2373308,2024-07-25 08:00:00+00:00,SAW,BC.Game,,,team1,CCT Season 2 Europe Series 6,0
hltv_match_2373522,2024-07-25 08:00:00+00:00,ECLOT,HAVU,,,team1,Elisa Invitational Fall 2024 Contenders,0
hltv_match_2373826,2024-07-25 08:30:00+00:00,GUN5,CYBERSHOKE,,,team2,CCT Season 2 Europe Series 7,0
hltv_match_2373595,2024-07-25 08:55:00+00:00,PARIVISION,ENCE,,,team2,Skyesports Championship 2024,0
hltv_match_2373309,2024-07-25 11:00:00+00:00,9z,RUBY,,,team1,CCT Season 2 Europe Series 6,0
hltv_match_2373828,2024-07-25 14:30:00+00:00,Passion UA,EYEBALLERS,,,team2,CCT Season 2 Europe Series 7,0
hltv_match_2373310,2024-07-25 14:35:00+00:00,B8,SINNERS,,,team1,CCT Season 2 Europe Series 6,0
hltv_match_2374002,2024-07-25 15:00:00+00:00,MIBR,Galorys,,,team1,ESL Challenger League Season 48 South America,0
hltv_match_2374003,2024-07-25 16:00:00+00:00,Galorys,MIBR,,,team2,ESL Challenger League Season 48 South America,0
hltv_match_2374053,2024-07-25 19:50:00+00:00,Imperial,Yawara,,,team1,IEM Rio 2024 South America Open Qualifier 2,0
hltv_match_2374057,2024-07-25 20:55:00+00:00,BESTIA,Sharks,,,team2,IEM Rio 2024 South America Open Qualifier 2,0
hltv_match_2373605,2024-07-26 07:35:00+00:00,The MongolZ,Aurora,,,team1,Skyesports Championship 2024,0
hltv_match_2373958,2024-07-26 08:30:00+00:00,GUN5,BC.Game,,,team2,CCT Season 2 Europe Series 7,0
hltv_match_2374066,2024-07-26 08:40:00+00:00,Rare Atom,IHC,,,team1,IEM Rio 2024 Asia Open Qualifier 1,0
hltv_match_2373600,2024-07-26 09:30:00+00:00,Eternal Fire,3DMAX,,,team1,Skyesports Championship 2024,0
hltv_match_2373989,2024-07-26 13:00:00+00:00,RED Canids,ODDIK,,,team2,Circuito Estadual FERJEE 2024,0
hltv_match_2373314,2024-07-26 14:00:00+00:00,Gaimin Gladiators,Passion UA,,,team2,CCT Season 2 Europe Series 6,0
hltv_match_2374059,2024-07-26 17:05:00+00:00,Imperial,Sharks,,,team1,IEM Rio 2024 South America Open Qualifier 2,0
hltv_match_2374061,2024-07-26 18:05:00+00:00,Fluxo,Imperial,,,team2,IEM Rio 2024 South America Open Qualifier 2,0
hltv_match_2373315,2024-07-27 05:00:00+00:00,B8,Sangal,,,team2,CCT Season 2 Europe Series 6,0
hltv_match_2373961,2024-07-27 05:30:00+00:00,Aurora Young Blud,9INE,,,team2,CCT Season 2 Europe Series 7,0
hltv_match_2374072,2024-07-27 07:15:00+00:00,Rare Atom,NomadS,,,team1,IEM Rio 2024 Asia Open Qualifier 1,0
hltv_match_2373316,2024-07-27 08:00:00+00:00,9z,Monte,,,team2,CCT Season 2 Europe Series 6,0
hltv_match_2373611,2024-07-27 08:00:00+00:00,The MongolZ,AMKAL,,,team1,Skyesports Championship 2024,0
hltv_match_2373962,2024-07-27 09:15:00+00:00,EYEBALLERS,CYBERSHOKE,,,team2,CCT Season 2 Europe Series 7,0
hltv_match_2373612,2024-07-27 10:50:00+00:00,3DMAX,ENCE,,,team1,Skyesports Championship 2024,0
hltv_match_2373317,2024-07-27 11:10:00+00:00,fnatic,MOUZ NXT,,,team1,CCT Season 2 Europe Series 6,0
hltv_match_2373963,2024-07-27 11:40:00+00:00,1win,CPH Wolves,,,team1,CCT Season 2 Europe Series 7,0
hltv_match_2373318,2024-07-27 14:35:00+00:00,SAW,Passion UA,,,team1,CCT Season 2 Europe Series 6,0
hltv_match_2374064,2024-07-27 18:20:00+00:00,ODDIK,Galorys,,,team1,KaBuM! Legends 2024,0
hltv_match_2373613,2024-07-28 03:40:00+00:00,Eternal Fire,The MongolZ,,,team2,Skyesports Championship 2024,0
hltv_match_2373319,2024-07-28 06:30:00+00:00,Monte,Sangal,,,team2,CCT Season 2 Europe Series 6,0
hltv_match_2373614,2024-07-28 07:10:00+00:00,Aurora,3DMAX,,,team2,Skyesports Championship 2024,0
hltv_match_2373320,2024-07-28 09:30:00+00:00,fnatic,SAW,,,team1,CCT Season 2 Europe Series 6,0
hltv_match_2374196,2024-07-28 11:00:00+00:00,Insilio,Metizport,,,team1,BetBoom Dacha Belgrade Season 2 Europe Closed Qualifier,0
hltv_match_2373615,2024-07-28 12:00:00+00:00,The MongolZ,3DMAX,,,team2,Skyesports Championship 2024,0
hltv_match_2373321,2024-07-28 12:30:00+00:00,Sangal,fnatic,,,team1,CCT Season 2 Europe Series 6,0
hltv_match_2374125,2024-07-28 15:30:00+00:00,paiN,RED Canids,,,team1,IEM Rio 2024 South America Closed Qualifier,0
hltv_match_2374126,2024-07-28 15:30:00+00:00,Imperial,MIBR,,,team1,IEM Rio 2024 South America Closed Qualifier,0
hltv_match_2374128,2024-07-28 19:30:00+00:00,MIBR,RED Canids,,,team1,IEM Rio 2024 South America Closed Qualifier,0
hltv_match_2374127,2024-07-28 19:30:00+00:00,Imperial,paiN,,,team2,IEM Rio 2024 South America Closed Qualifier,0
hltv_match_2373771,2024-07-29 06:00:00+00:00,Spirit,OG,,,team1,BLAST Premier Fall Groups 2024,0
hltv_match_2374073,2024-07-29 06:00:00+00:00,SINNERS,Alliance,,,team1,YaLLa Compass Summer 2024 Contenders,0
hltv_match_2374020,2024-07-29 08:30:00+00:00,Aurora Young Blud,EYEBALLERS,,,team1,CCT Season 2 Europe Series 7,0
hltv_match_2374074,2024-07-29 09:00:00+00:00,Passion UA,Nexus,,,team1,YaLLa Compass Summer 2024 Contenders,0
hltv_match_2373773,2024-07-29 10:30:00+00:00,Vitality,GamerLegion,,,team1,BLAST Premier Fall Groups 2024,0
hltv_match_2374097,2024-07-29 11:20:00+00:00,CYBERSHOKE,MOUZ NXT,,,team2,Hellcase Cup 10,0
hltv_match_2374021,2024-07-29 11:40:00+00:00,Monte,9INE,,,team1,CCT Season 2 Europe Series 7,0
hltv_match_2373774,2024-07-29 14:15:00+00:00,Astralis,Falcons,,,team1,BLAST Premier Fall Groups 2024,0
hltv_match_2374022,2024-07-29 15:00:00+00:00,1win,CYBERSHOKE,,,team2,CCT Season 2 Europe Series 7,0
hltv_match_2374129,2024-07-29 15:30:00+00:00,MIBR,Imperial,,,team2,IEM Rio 2024 South America Closed Qualifier,0
hltv_match_2374130,2024-07-29 19:30:00+00:00,paiN,Imperial,,,team1,IEM Rio 2024 South America Closed Qualifier,0
hltv_match_2374198,2024-07-30 05:00:00+00:00,Metizport,QUAZAR,,,team1,BetBoom Dacha Belgrade Season 2 Europe Closed Qualifier,0
hltv_match_2373779,2024-07-30 06:00:00+00:00,Spirit,HEROIC,,,team1,BLAST Premier Fall Groups 2024,0
hltv_match_2374136,2024-07-30 08:00:00+00:00,Sangal,SINNERS,,,team1,ESL Challenger League Season 48 Europe,0
hltv_match_2374201,2024-07-30 08:30:00+00:00,Nemiga,G2 Ares,,,team1,BetBoom Dacha Belgrade Season 2 Europe Closed Qualifier,0
hltv_match_2373932,2024-07-30 09:00:00+00:00,Sashi,Zero Tenacity,,,team2,ESL Challenger League Season 48 Europe,0
hltv_match_2374076,2024-07-30 09:00:00+00:00,1win,ECLOT,,,team2,YaLLa Compass Summer 2024 Contenders,0
hltv_match_2374024,2024-07-30 09:30:00+00:00,EYEBALLERS,BC.Game,,,team2,CCT Season 2 Europe Series 7,0
hltv_match_2373781,2024-07-30 11:15:00+00:00,Vitality,Astralis,,,team1,BLAST Premier Fall Groups 2024,0
hltv_match_2374025,2024-07-30 12:30:00+00:00,Passion UA,CPH Wolves,,,team1,CCT Season 2 Europe Series 7,0
hltv_match_2374131,2024-07-30 13:00:00+00:00,B8,ARCRED,,,team1,ESL Challenger League Season 48 Europe,0
hltv_match_2374234,2024-07-30 13:00:00+00:00,ODDIK,Dusty Roots,,,team1,BetBoom Dacha Belgrade Season 2 South America Closed Qualifier,0
hltv_match_2373884,2024-07-30 13:00:00+00:00,BESTIA,KRÜ,,,team1,CCT Season 2 South America Series 2,0
hltv_match_2373782,2024-07-30 13:30:00+00:00,GamerLegion,Falcons,,,team2,BLAST Premier Fall Groups 2024,0
hltv_match_2374132,2024-07-30 14:00:00+00:00,Sashi,EYEBALLERS,,,team1,ESL Challenger League Season 48 Europe,0
hltv_match_2374228,2024-07-30 16:00:00+00:00,MIBR,9z Academy,,,team1,BetBoom Dacha Belgrade Season 2 South America Closed Qualifier,0
hltv_match_2373885,2024-07-30 16:05:00+00:00,Fluxo,Bounty Hunters,,,team1,CCT Season 2 South America Series 2,0
hltv_match_2374169,2024-07-30 18:00:00+00:00,Galorys,BESTIA,,,team2,ESL Challenger League Season 48 South America,0
hltv_match_2374170,2024-07-30 19:00:00+00:00,Dusty Roots,MIBR,,,team2,ESL Challenger League Season 48 South America,0
hltv_match_2374173,2024-07-30 19:30:00+00:00,BESTIA,Galorys,,,team2,ESL Challenger League Season 48 South America,0
